id,year,exam_num,question_order,question,image_filename
3e15a49d-a8c9-4d65-9a57-7108646d8175,2021,73,21,頭部の造影 T1 強調像を別に示す。脳脊髄液を産生する組織はどれか。,73_AM_image_p5.png
16659b20-3027-45c8-9045-42d77b0780da,2021,73,22,眼底写真を別に示す。矢印の解剖名称で正しいのはどれか。,73_AM_image_p6.png
571cd3e6-00d5-440e-8731-580369ca65ae,2021,73,23,頭部静脈の MRA 像を別に示す。矢印で示すのはどれか。,73_AM_image_p7.png
6abf9e67-e0ed-419e-8858-406746b806a4,2021,73,24,心窩部縦走査による超音波像を別に示す。矢印で示すのはどれか。,73_AM_image_p8.png
72a0adc8-a262-4c47-b489-152fcd460f8a,2021,73,28,投与後の正常の腎シンチグラムを別に示す。使用された放射性医薬品で正しいのはどれか。,73_AM_image_p9.png
1786e65c-58ee-48c7-9552-2478a3997027,2021,73,87,オルソパントモグラムを別に示す。矢印で示す部位で正しいのはどれか。,73_AM_image_p10.png
2e0f75b8-ce52-4b7c-bde1-14981781a508,2021,73,88,胸部 X 線写真を別に示す。左上肺野に描出されるデバイスのリード線はどの血管から挿入されているか。,73_AM_image_p11.png
e577c3ae-731c-42be-a161-3c050fb0d8f0,2021,73,91,腰椎の X 線写真を別に示す。矢印で示すのはどれか。,73_AM_image_p12.png
9b7ac768-73b8-4795-8b94-9b09b9db91a8,2021,73,92,頸部造影 CT を別に示す。病変が発生した臓器はどれか。,73_AM_image_p13.png
fc32672e-cbd7-4667-857a-2aeef25e9844,2021,73,120,拡散強調像を別に示す。矢印の解剖名称で正しいのはどれか。,73_PM_image_p5.png
1159d1f9-14f1-4b5b-8a76-6e56c1b6951f,2021,73,122,腹部 MR 像を別に示す。矢印の部分に存在するアーチファクトで正しいのはどれか。,73_PM_image_p6.png
4696b23d-00ad-45e1-b225-fa73236eae64,2021,73,124,手部 MRI の T1 強調冠状断像を別に示す。矢印で示すのはどれか。,73_PM_image_p7.png
bad23bde-f907-4dd1-a1bc-9a22e75d9e12,2021,73,128,心筋シンチグラフィの極座標表示を別に示す。矢印で示す心筋壁はどれか。,73_PM_image_p8.png
d9ed1241-31c6-4c7e-86d1-38ffec58af14,2021,73,186,X 線写真を別に示す。撮影法であてはまらないのはどれか。,73_PM_image_p9.png
dc298b2b-37f5-47c6-adc5-113d9fd0a9fb,2021,73,189,頭部単純 CT を別に示す。病変が存在するのはどれか。,73_PM_image_p10.png
c42bd7a4-0472-4a38-a0cc-e03ee661d6d7,2021,73,190,腹部造影 CT と治療後の腹部単純 CT を別に示す。行われた治療は何か。,73_PM_image_p11.png
4e523baf-53da-4751-9f45-dd949a2bbcef,2021,73,191,手部 X 線撮影時の肢位を別に示す。正しいのはどれか。,73_PM_image_p12.png
03d69de0-d664-4788-a355-d6e7ace58696,2021,73,192,胸部の造影 CT 像を別に示す。矢印で示すのはどれか。,73_PM_image_p13.png
0dae5b1d-0f0e-4e83-ad51-dcbcfd768233,2021,73,193,腹部造影 CT 冠状断像を別に示す。矢印で示す臓器はどれか。,73_PM_image_p14.png
523cbfd6-68f3-45a7-87af-851bdbb48bbe,2022,74,15,MRCP 像を別に示す。主膵管はどれか。,74_AM_image_p5.png
a8900bc1-a87f-4bf7-ad2b-35761a860388,2022,74,16,乳腺腫瘤の超音波像を別に示す。正しいのはどれか。2 つ選べ。,74_AM_image_p6.png
dc3560d6-942b-42e6-8b2e-24d1e97b328e,2022,74,17,右側腹部の超音波像を別に示す。矢印で示すアーチファクトはどれか。,74_AM_image_p7.png
09b3a034-823a-4b80-88f9-d22a71205ed7,2022,74,21,腹部 MR 像を別に示す。矢印のアーチファクトを軽減するのはどれか。,74_AM_image_p8.png
7392bce5-a717-492e-ae65-6af4a732b00b,2022,74,22,脳の MR 像を別に示す。中脳水道はどれか。,74_AM_image_p9.png
7c449b3e-c087-493a-9a7b-672397bf4b8a,2022,74,23,胆囊の超音波像を別に示す。矢印で示すアーチファクトはどれか。,74_AM_image_p10.png
3802782b-0539-4b40-a4b0-3ce6ae8fbda0,2022,74,29,放射性医薬品投与後のシンチグラムを別に示す。投与部位はどれか。,74_AM_image_p11.png
016cf133-c7a9-489e-914a-c1cdc0e6d45f,2022,74,84,左肘関節側面の X 線写真を別に示す。矢印で示す部位と名称の組合せで正しいのはどれか。,74_AM_image_p12.png
9a036b47-eea3-468a-92c4-2acd5330cd97,2022,74,85,胸部 X 線写真を別に示す。認められる所見はどれか。,74_AM_image_p13.png
45e86c53-d27c-40df-9c68-ffba4c2faab9,2022,74,87,腹部の血管造影写真を別に示す。矢印で示すのはどれか。,74_AM_image_p14.png
a6355199-7afb-4f60-a9f6-58ba2c97596a,2022,74,88,X 線撮影の体位を別に示す。観察部位はどれか。,74_AM_image_p15.png
bf5e319d-7aa1-42b0-b681-9dd4139cd5a5,2022,74,89,腹部のダイナミック CT を別に示す。時相の順番として正しいのはどれか。,74_AM_image_p16.png
7eaacab0-e38d-4e4c-9b15-4cd7a4a0b607,2022,74,91,X 線写真を別に示す。造影されているのはどこか。,74_AM_image_p17.png
5b1bf1db-61a4-447a-aa3d-95130622f67c,2022,74,92,頭部単純 CT 像を別に示す。矢印で示すのはどれか。,74_AM_image_p18.png
4d5b7b32-a44e-4565-8e7d-4b13496fdd71,2022,74,116,眼底写真を別に示す。視神経乳頭はどれか。,74_PM_image_p5.png
464efd6b-6d2b-4358-8220-0afdfcf6a799,2022,74,118,膝 MRI のプロトン密度強調矢状断像を別に示す。矢印で示すのはどれか。,74_PM_image_p6.png
e22a2abc-f026-470a-8787-235aa8d384ec,2022,74,119,頭部 MR 像を別に示す。矢印で示すのはどれか。,74_PM_image_p7.png
9d7b1a20-fdbc-4889-924f-2d9c946f56ee,2022,74,120,肝臓の超音波像を別に示す。矢印で示すのはどれか。,74_PM_image_p8.png
fcc8c540-d0ba-4472-b345-ddd8f97a098e,2022,74,122,上腹部超音波横断像を別に示す。矢印で示すのはどれか。,74_PM_image_p9.png
4d62d855-fd57-47d2-b510-29e5dc42151d,2022,74,123,骨盤部 MRI の T2 強調像を別に示す。矢印で示すのはどれか。,74_PM_image_p10.png
85d56a39-10c7-4e7c-8ec7-0d94490fe9e5,2022,74,124,心エコーの四腔断面像を別に示す。矢印で示す構造はどれか。,74_PM_image_p11.png
d27736a4-5de1-46ee-a24a-2fcbd9fa85e4,2022,74,150,左乳房の区分を別に示す。C 区域を示すのはどれか。,74_PM_image_p12.png
31472a8e-4e86-4f26-ae90-c3c105b390bf,2022,74,185,頭部 X 線写真を別に示す。撮影法で正しいのはどれか。,74_PM_image_p13.png
36faa84e-33df-4765-a489-8e008c2b5272,2022,74,186,血管造影写真を別に示す。行われた IVR の手技はどれか。,74_PM_image_p14.png
8913d8d4-bf2c-455c-bdb9-5070b7d05b5e,2022,74,187,腹部造影 CT 像を別に示す。矢印で示すのはどれか。,74_PM_image_p15.png
a84d3f36-ca85-4821-8ba7-f5a74aedbabe,2022,74,188,頸椎正面 X 線写真を別に示す。矢印で示すのはどれか。,74_PM_image_p16.png
f067ccb7-8030-496f-9570-ef9bf68132e1,2022,74,190,関節リウマチ患者の X 線写真を別に示す。亜脱臼しているのはどこか。,74_PM_image_p17.png
eb3a611b-0f54-4cf8-83bf-c76a2825fef2,2022,74,191,腹部造影 CT の多断面再構成像を別に示す。矢印で示すのはどれか。,74_PM_image_p18.png
